"","Team","OPassStrength","ORushStrength","OffStrength","DPassStrength","DRushStrength","DefStrength","Net_Pass","Net_Rush","Net_Total","Week","Home","Win","Confidence","Opponent"
"1","Cincinnati Bengals",67.4817898022893,31.0932798395186,46.5894140884184,49.2845786963434,36.3288718929254,43.4677812173441,29.1670044286804,31.0932798395186,78.9757837179968,4,FALSE,FALSE,65.6800380533381,"Miami Dolphins"
"2","Miami Dolphins",62.1227887617066,32.0962888665998,48.1578998429653,38.3147853736089,0,27.8739146386205,12.8382100653631,-4.23258302632564,13.2957456646587,4,TRUE,TRUE,65.6800380533381,"Cincinnati Bengals"
"3","Indianapolis Colts",63.3194588969823,35.1053159478435,58.4459226442061,18.1770005299417,49.3307839388145,27.1754954795866,-9.97147909983806,-0.841146767261634,-3.68852741334899,4,FALSE,TRUE,8.35655662405431,"Indianapolis Colts"
"4","Jacksonville Jaguars",51.5088449531738,4.01203610832498,27.1173148494408,73.2909379968204,35.9464627151052,51.3218241904554,33.3318444232321,-45.3187478304896,-12.0450840374033,4,TRUE,FALSE,8.35655662405431,"Jacksonville Jaguars"
"5","Atlanta Falcons",100,44.6339017051154,84.3620682406501,26.4970853206147,23.7093690248566,23.8362987493964,16.7991520932697,-9.8594061342728,23.8995890704537,4,FALSE,TRUE,106.918568433735,"Carolina Panthers"
"6","Carolina Panthers",41.6233090530697,95.2858575727182,67.9517439732685,83.2008479067303,54.4933078393882,67.4022251291934,15.126223732455,71.5764885478616,130.818157504189,4,TRUE,FALSE,106.918568433735,"Atlanta Falcons"
"7","Chicago Bears",40.2705515088449,19.0571715145436,22.7017460906581,66.6136724960254,4.3977055449331,37.0069330050529,0.153964333434246,-12.1091764778082,-23.2841377984762,4,FALSE,TRUE,114.627176930214,"Detroit Lions"
"8","Detroit Lions",77.7315296566077,50.1504513540622,71.4793691670798,40.1165871754107,31.1663479923518,34.0306717447604,11.1178571605823,45.7527458091291,91.3430391317382,4,TRUE,FALSE,114.627176930214,"Chicago Bears"
"9","Buffalo Bills",0,68.9067201604815,34.4428054101981,29.1467938526762,47.131931166348,40.5045693850713,-36.4069952305246,14.4134123210933,-41.8635902038876,4,FALSE,FALSE,119.72449796749,"Buffalo Bills"
"10","New England Patriots",28.8241415192508,100,65.820060648447,36.4069952305246,54.4933078393882,54.3128127046543,-0.322652333425442,52.868068833652,77.8609077636022,4,TRUE,TRUE,119.72449796749,"New England Patriots"
"11","New York Jets",44.4328824141519,79.9398194583751,56.6037316261291,29.6767355590885,72.2753346080306,46.6067502653443,-49.5257821327479,22.9608519631552,-54.3555255823336,4,FALSE,TRUE,48.1682857296763,"Seattle Seahawks"
"12","Seattle Seahawks",48.5952133194589,51.1534603811434,42.6229068792037,93.9586645468999,56.9789674952199,84.39432703887,18.9184777603704,-21.1218742268872,-6.18723985265732,4,TRUE,FALSE,48.1682857296763,"New York Jets"
"13","Cleveland Browns",31.4255983350676,93.9819458375125,51.3600905581723,24.2183359830419,36.3288718929254,28.9144509925425,11.1288309794767,70.7505882849313,113.638719682646,4,FALSE,TRUE,31.1722337064735,"Cleveland Browns"
"14","Washington Redskins",87.0967741935484,24.7743229689067,60.0570476822267,20.2967673555909,23.2313575525813,19.6007901399348,62.8784382105065,-11.5545489240187,82.466485976172,4,TRUE,FALSE,31.1722337064735,"Washington Redskins"
"15","Baltimore Ravens",40.9469302809573,31.3941825476429,33.7487468089799,90.990990990991,58.604206500956,81.1865025869195,40.9469302809573,20.5911232742204,85.0961570032918,4,FALSE,FALSE,70.9611040644645,"Oakland Raiders"
"16","Oakland Raiders",64.7242455775234,97.592778335005,82.5997291051654,0,10.8030592734226,10.1906433608658,-26.2667454134676,38.988571834049,14.1350529388273,4,TRUE,TRUE,70.9611040644645,"Baltimore Ravens"
"17","Houston Texans",26.7429760665973,60.8826479438315,30.3503783871,100,20.6500956022945,68.3993902219956,-26.4101770865559,23.5977531063554,-24.1282126396475,4,FALSE,FALSE,12.8978717794685,"Tennessee Titans"
"18","Tennessee Titans",34.3392299687825,77.2316950852558,40.4524763511357,53.1531531531532,37.2848948374761,51.6661670465471,-65.6607700312175,56.5815994829613,-37.026084419116,4,TRUE,TRUE,12.8978717794685,"Houston Texans"
"19","Denver Broncos",41.3111342351717,60.481444332999,58.5278429194125,85.691573926868,18.7380497131931,59.8162541356884,5.27509819913565,13.349513166651,44.6192130384357,4,FALSE,TRUE,48.1357426966946,"Denver Broncos"
"20","Tampa Bay Buccaneers",69.5629552549428,35.1053159478435,56.0610769147043,36.036036036036,47.131931166348,32.5332412467635,-16.1286186719253,16.3672662346504,-3.5165296582589,4,TRUE,FALSE,48.1357426966946,"Tampa Bay Buccaneers"
"21","Arizona Cardinals",57.7523413111342,44.1323971915747,58.0373057026947,80.1801801801802,13.6711281070746,53.4083496834278,18.5366550366244,-1.08748808567194,29.3390132905584,4,FALSE,FALSE,120.426866093296,"Los Angeles Rams"
"22","Los Angeles Rams",5.56711758584807,37.8134403209629,12.7912472611339,39.2156862745098,45.2198852772467,46.1474593630889,-74.6130625943321,24.1423122138883,-91.0878528027377,4,TRUE,TRUE,120.426866093296,"Arizona Cardinals"
"23","New Orleans Saints",88.2934443288242,13.5406218655968,57.5770463503931,2.11976682564918,30.4015296367113,19.1436986104141,78.7544936134028,-49.1744832969271,51.5709544025768,4,FALSE,FALSE,70.3913539654716,"New Orleans Saints"
"24","San Diego Chargers",46.6701352757544,63.1895687061184,63.7675994589502,9.5389507154213,62.7151051625239,35.586102264292,44.5503684501052,32.7880390694071,121.962308368048,4,TRUE,TRUE,70.3913539654716,"San Diego Chargers"
"25","Dallas Cowboys",45.6295525494277,83.2497492477432,65.9721826573408,26.4970853206147,55.4493307839388,45.0641217442946,0.425524992458939,59.7315848117968,91.9432160039997,4,FALSE,TRUE,109.468036340935,"Dallas Cowboys"
"26","San Francisco 49ers",6.24349635796045,65.8976930792377,37.3445280747142,45.2040275569687,23.5181644359465,34.1860764575968,-20.2535889626543,10.4483622952989,-17.5248203369358,4,TRUE,FALSE,109.468036340935,"San Francisco 49ers"
"27","Kansas City Chiefs",40.426638917794,40.4212637913741,42.9256031223488,60.9432962374139,23.2313575525813,52.8331120186557,36.1871052664956,-28.4123882162741,12.9802596555088,4,FALSE,TRUE,5.91712870396728,"Kansas City Chiefs"
"28","Pittsburgh Steelers",47.1904266389178,49.147442326981,47.7330277942936,4.23953365129836,68.8336520076482,37.7200605170616,-13.7528695984961,25.9160847743997,7.06313095154149,4,TRUE,FALSE,5.91712870396728,"Pittsburgh Steelers"
"29","Minnesota Vikings",26.5348595213319,0,17.9070524325255,68.362480127186,60.5162523900574,72.9161936705151,-14.6416110669033,-66.9216061185468,-119.340911489762,4,FALSE,TRUE,93.4052772809389,"New York Giants"
"30","New York Giants",69.9271592091571,48.1444332998997,57.787699469879,41.1764705882353,66.9216061185468,55.6847467368368,1.56467908197112,-12.3718190901577,-25.9356342088226,4,TRUE,FALSE,93.4052772809389,"Minnesota Vikings"
"31","Arizona Cardinals",58.4045584045584,50.6612410986775,49.2648885955592,74.8466257668712,31.1860940695297,57.7594836720748,11.7787915333928,50.6612410986775,85.406218350055,5,FALSE,TRUE,158.088601225754,"Arizona Cardinals"
"32","San Francisco 49ers",0,64.0895218718209,27.0202987609555,46.6257668711656,0,26.2987028775745,-74.8466257668712,32.9034278022913,-72.6823828756991,5,TRUE,FALSE,158.088601225754,"San Francisco 49ers"
"33","Cleveland Browns",24.6153846153846,100,46.899357473128,40.3067484662577,22.6993865030675,29.7367235629404,-12.807928268051,59.918200408998,44.7913615079812,5,FALSE,TRUE,7.52759213777044,"New England Patriots"
"34","New England Patriots",18.2336182336182,85.9613428280773,40.8668511163216,37.4233128834356,40.081799591002,49.2182681060938,-22.0731302326394,63.2619563250098,52.3189536457516,5,TRUE,FALSE,7.52759213777044,"Cleveland Browns"
"35","Detroit Lions",59.8290598290598,42.0142421159715,47.6455769824847,32.9447852760736,26.5848670756646,31.3610843436709,-15.1402653243144,-29.0491525670551,-80.8093738091614,5,FALSE,TRUE,156.809751360836,"Philadelphia Eagles"
"36","Philadelphia Eagles",40.7407407407407,69.4811800610376,56.6691934453054,74.9693251533742,71.0633946830266,84.2655329002767,7.79595546466714,42.896312985373,76.0003775516746,5,TRUE,FALSE,156.809751360836,"Detroit Lions"
"37","Chicago Bears",42.1652421652422,31.8413021363174,26.6632285812447,70.8588957055215,17.3824130879346,46.2861824340753,12.4106409382483,-3.63927046081963,8.38842554423429,5,FALSE,TRUE,14.4915422536333,"Chicago Bears"
"38","Indianapolis Colts",47.008547008547,37.6398779247202,43.7759495848651,29.7546012269939,35.480572597137,27.0461735144391,-23.8503486969745,20.2574648367857,-6.10311670939902,5,TRUE,FALSE,14.4915422536333,"Indianapolis Colts"
"39","Miami Dolphins",41.7094017094017,27.263479145473,27.3514689777052,32.8220858895706,10.9406952965235,28.9241120674872,-10.2537884746474,-3.92261492405662,-33.2286509787615,5,FALSE,TRUE,96.9255083382889,"Tennessee Titans"
"40","Tennessee Titans",24.045584045584,77.3143438453713,35.0238227221534,51.9631901840491,31.1860940695297,46.4037165577626,-8.77650184398652,66.3736485488478,63.6968573595274,5,TRUE,FALSE,96.9255083382889,"Miami Dolphins"
"41","Houston Texans",24.6153846153846,62.5635808748728,31.8977858690515,100,15.5419222903886,65.0948047277911,-45.6300141576215,4.79261972967856,-81.5898186886293,5,FALSE,TRUE,67.3175636002056,"Houston Texans"
"42","Minnesota Vikings",20.2279202279202,0,11.5014245014245,70.2453987730061,57.7709611451943,72.6502101297378,-79.7720797720798,-15.5419222903886,-148.907382288835,5,TRUE,FALSE,67.3175636002056,"Minnesota Vikings"
"43","New York Jets",39.6011396011396,62.5635808748728,41.5016276860081,24.8466257668712,71.7791411042945,43.5830687515837,34.0796672085016,-1.03560112921714,35.9774617472536,5,FALSE,TRUE,13.1985472792893,"New York Jets"
"44","Pittsburgh Steelers",47.5783475783476,62.3601220752797,53.0492804370862,5.52147239263804,63.59918200409,38.5682320180389,22.7317218114764,-9.41901902901473,22.7789144679643,5,TRUE,FALSE,13.1985472792893,"Pittsburgh Steelers"
"45","Baltimore Ravens",41.7094017094017,44.0488301119023,37.0354465840015,91.717791411043,61.8609406952965,78.8202149414785,14.1020397462115,36.3801184554606,68.2128229264478,5,FALSE,FALSE,146.374061333275,"Washington Redskins"
"46","Washington Redskins",61.6524216524216,42.7263479145473,49.8589390740217,27.6073619631902,7.66871165644172,19.3047818592259,-30.0653697586213,-19.1345927807492,-78.1612384068273,5,TRUE,TRUE,146.374061333275,"Baltimore Ravens"
"47","Atlanta Falcons",100,74.7711088504578,93.6927772126144,5.21472392638037,39.0593047034765,17.6519969363545,4.29447852760735,47.4704953535252,75.4986140973482,5,FALSE,TRUE,3.96007459677308,"Atlanta Falcons"
"48","Denver Broncos",32.8774928774929,55.7477110885046,44.839361100789,95.7055214723926,27.3006134969325,69.9591369963989,27.6627689511125,16.6884063850281,71.5385395005751,5,TRUE,FALSE,3.96007459677308,"Denver Broncos"
"49","Cincinnati Bengals",63.9316239316239,30.3153611393693,40.4769167075089,61.4723926380368,43.9672801635992,55.9396011374136,25.894814115673,-16.4126552205489,2.26208057305868,5,FALSE,FALSE,35.5801280055569,"Cincinnati Bengals"
"50","Dallas Cowboys",38.7464387464387,99.6948118006104,60.780231970616,38.0368098159509,46.7280163599182,47.6969950295743,-22.7259538915981,55.7275316370112,37.8422085786156,5,TRUE,TRUE,35.5801280055569,"Dallas Cowboys"
"51","Oakland Raiders",49.4017094017094,77.1108850457782,59.2771207690408,0,6.13496932515337,7.9167210546926,27.3158198311572,17.2949341255328,66.7157625379501,5,FALSE,TRUE,64.7766431697852,"San Diego Chargers"
"52","San Diego Chargers",49.5726495726496,44.7609359104781,51.2105106044535,22.0858895705521,59.8159509202454,37.1721121877807,49.5726495726496,38.6259665853247,131.492405707735,5,TRUE,FALSE,64.7766431697852,"Oakland Raiders"
"53","Buffalo Bills",2.84900284900285,73.5503560528993,30.9827437067402,39.8773006134969,45.5010224948875,50.5177660086355,-28.1325922430217,36.740540101979,-1.58405940112964,5,FALSE,TRUE,91.122325063467,"Buffalo Bills"
"54","Los Angeles Rams",7.69230769230769,26.2461851475076,9.25121181260801,30.9815950920245,36.8098159509202,41.1747509668271,-32.1849929211892,-19.2548373473799,-92.7063844645967,5,TRUE,FALSE,91.122325063467,"Los Angeles Rams"
"55","Green Bay Packers",8.26210826210826,50.1525940996948,28.4847580780906,11.1656441717791,100,52.1228670295948,-30.5108978728611,-14.4690827919207,-70.0652638064162,5,FALSE,TRUE,73.9985301425145,"New York Giants"
"56","New York Giants",67.7492877492877,48.8301119023398,50.6423778858447,38.7730061349693,64.6216768916155,53.5700412197251,56.5836435775086,-51.1698880976602,3.93326633609828,5,TRUE,FALSE,73.9985301425145,"Green Bay Packers"
"57","Carolina Panthers",49.002849002849,72.0244150559512,57.5599645965371,41.7177914110429,51.3292433537832,40.2032480529087,7.8985545243214,26.3188935835585,56.589612450521,5,FALSE,FALSE,79.9311714914968,"Tampa Bay Buccaneers"
"58","Tampa Bay Buccaneers",45.4131054131054,32.0447609359105,32.4508574277432,41.1042944785276,45.7055214723926,35.1878002538961,3.69531400206246,-19.2844824178728,-23.3415590409758,5,TRUE,TRUE,79.9311714914968,"Carolina Panthers"
"59","Denver Broncos",34.390243902439,36.4066193853428,36.0026874750781,96.9251336898396,32.7777777777778,71.4910171979711,8.32072518586149,-26.0007880220646,-19.2336809154723,6,FALSE,TRUE,34.6083771475108,"Denver Broncos"
"60","San Diego Chargers",69.1463414634147,23.4042553191489,54.8012738200418,26.0695187165775,62.4074074074074,37.5563055543474,-27.7787922264249,-9.37352245862883,-53.8420580629831,6,TRUE,FALSE,34.6083771475108,"San Diego Chargers"
"61","Buffalo Bills",0,78.7234042553192,32.3227095654067,49.1978609625668,49.6296296296296,56.7202001551498,-72.0588235294118,75.0197005516154,-0.312432443100917,6,FALSE,FALSE,70.8838796815202,"San Francisco 49ers"
"62","San Francisco 49ers",0.365853658536586,60.0472813238771,23.9382436403115,72.0588235294118,3.7037037037037,35.5960190307113,-48.8320073040303,10.4176516942475,-71.1963121246211,6,TRUE,TRUE,70.8838796815202,"Buffalo Bills"
"63","Chicago Bears",68.4146341463415,23.8770685579196,36.6103241711856,68.8502673796792,30,48.0138558988853,-19.6869701317334,-17.7895981087471,-58.8443296465413,6,FALSE,FALSE,11.6065947774502,"Jacksonville Jaguars"
"64","Jacksonville Jaguars",46.4024390243903,5.55555555555556,24.4552042746271,88.1016042780749,41.6666666666667,57.9780855772465,-22.4478283552889,-24.4444444444444,-70.4509244239915,6,TRUE,TRUE,11.6065947774502,"Chicago Bears"
"65","Detroit Lions",55.1219512195122,22.6950354609929,38.8404370398896,44.9197860962567,33.3333333333333,38.8475325098432,-3.83526803182469,-3.78644602048858,-16.001831352814,6,FALSE,FALSE,59.397918205255,"Los Angeles Rams"
"66","Los Angeles Rams",20.1219512195122,13.2387706855792,8.34018047627285,58.9572192513369,26.4814814814815,47.2205543403903,-24.7978348767445,-20.0945626477541,-75.399749558069,6,TRUE,TRUE,59.397918205255,"Detroit Lions"
"67","Cleveland Browns",33.6585365853659,64.0661938534279,35.1863540815502,28.2085561497326,33.8888888888889,25.7953610091984,-38.6676666231903,15.3624901497242,-51.3259093130458,6,FALSE,FALSE,122.509732078903,"Cleveland Browns"
"68","Tennessee Titans",24.390243902439,92.1985815602837,42.4878033509547,72.3262032085562,48.7037037037037,63.20708692113,-3.81831224729362,58.3096926713948,71.1838227658575,6,TRUE,TRUE,122.509732078903,"Tennessee Titans"
"69","Miami Dolphins",37.8048780487805,2.1276595744681,14.425136938778,53.7433155080214,0,31.2053498647649,18.687230989957,-66.2056737588652,-82.1744600469341,6,FALSE,TRUE,161.166038115022,"Pittsburgh Steelers"
"70","Pittsburgh Steelers",70,37.1158392434988,56.8244041973755,19.1176470588235,68.3333333333333,49.0811542168038,16.2566844919786,37.1158392434988,78.991578068088,6,TRUE,FALSE,161.166038115022,"Miami Dolphins"
"71","Cincinnati Bengals",69.0243902439025,15.6028368794326,35.7098748977475,70.855614973262,34.0740740740741,54.5347238013449,20.8960479979132,-44.026792750197,-50.8595341839552,6,FALSE,FALSE,59.0551048379759,"Cincinnati Bengals"
"72","New England Patriots",48.6585365853659,67.8486997635934,51.1527471537426,48.1283422459893,59.6296296296296,63.4386643294189,-22.1970783878962,33.7746256895193,8.19557065402077,6,TRUE,TRUE,59.0551048379759,"New England Patriots"
"73","Carolina Panthers",59.7560975609756,63.8297872340426,57.4780227644751,56.2834224598931,51.8518518518519,48.7100683314759,40.1705360636494,36.7001576044129,118.71975958399,6,FALSE,TRUE,125.23908067774,"Carolina Panthers"
"74","New Orleans Saints",82.2560975609756,13.2387706855792,54.8311533029161,19.5855614973262,27.1296296296296,15.628956848547,25.9726751010826,-38.6130811662727,-6.51932109374989,6,TRUE,FALSE,125.23908067774,"New Orleans Saints"
"75","Baltimore Ravens",42.5609756097561,33.5697399527187,30.0529426170584,93.4491978609626,69.2592592592593,84.0245513594077,-3.56201904265032,-16.6154452324665,-40.4082895214781,6,FALSE,TRUE,102.166958111873,"Baltimore Ravens"
"76","New York Giants",58.9024390243903,15.3664302600473,29.8888915618405,46.1229946524064,50.1851851851852,50.2837678634196,-34.5467588365723,-53.892828999212,-142.575247633351,6,TRUE,FALSE,102.166958111873,"New York Giants"
"77","Philadelphia Eagles",46.2804878048781,56.6193853427896,53.8812423438838,91.644385026738,71.7592592592593,90.2284989046204,0.424872831616021,37.3601260835303,57.178769496916,6,FALSE,TRUE,182.793729488922,"Philadelphia Eagles"
"78","Washington Redskins",67.1951219512195,18.6761229314421,42.1459383159496,45.855614973262,19.2592592592593,34.4874717621142,-24.4492630755184,-53.0831363278172,-125.614959992006,6,TRUE,FALSE,182.793729488922,"Washington Redskins"
"79","Kansas City Chiefs",48.109756097561,23.2860520094563,31.6006903366205,60.2272727272727,19.7222222222222,42.8711457256289,48.109756097561,-3.3806146572104,63.256129934425,6,FALSE,TRUE,4.13082068338866,"Kansas City Chiefs"
"80","Oakland Raiders",62.8048780487805,57.4468085106383,61.6942633667414,0,26.6666666666667,13.0737018425461,2.57760532150775,37.7245862884161,59.1253092510363,6,TRUE,FALSE,4.13082068338866,"Oakland Raiders"
"81","Dallas Cowboys",44.1463414634146,100,64.9527491643091,46.7914438502674,51.6666666666667,55.4372520679701,6.64634146341463,0,4.59081555671648,6,FALSE,TRUE,50.2089339425388,"Dallas Cowboys"
"82","Green Bay Packers",24.6341463414634,48.936170212766,34.7069276448525,37.5,100,67.0082750710072,-22.1572975088039,-2.7304964539007,-45.6181183858223,6,TRUE,FALSE,50.2089339425388,"Green Bay Packers"
"83","Atlanta Falcons",100,63.1205673758865,90.7801418439716,27.0053475935829,48.3333333333333,32.9449885252113,1.8716577540107,-2.15721040189125,0.773712456480979,6,FALSE,FALSE,11.6744474175891,"Atlanta Falcons"
"84","Seattle Seahawks",57.9878048780488,26.4775413711584,36.2664830769905,98.1283422459893,65.2777777777778,89.7208767396101,30.9824572844659,-21.8557919621749,12.4481598740701,6,TRUE,TRUE,11.6744474175891,"Seattle Seahawks"
"85","Houston Texans",23.9024390243902,36.8794326241135,18.9772231084308,100,29.0740740740741,67.1419844696954,4.11634276770574,-1.26871552403468,-1.86926511158681,6,FALSE,FALSE,64.548758474495,"Indianapolis Colts"
"86","Indianapolis Colts",60.4878048780488,22.9314420803783,46.3787879992606,19.7860962566845,38.1481481481482,23.6941154636887,-39.5121951219512,-6.14263199369582,-66.4180235860818,6,TRUE,TRUE,64.548758474495,"Houston Texans"
"87","Arizona Cardinals",48.0487804878049,52.4822695035461,48.0949045922528,94.1176470588235,30.1851851851852,65.6955197386907,29.1985131081257,-23.8140267927502,12.1914044486333,6,FALSE,FALSE,80.3519607573011,"New York Jets"
"88","New York Jets",47.5609756097561,39.9527186761229,34.3241013881526,18.8502673796792,76.2962962962963,41.287986458995,-46.5566714490674,9.76753349093775,-68.1605563086678,6,TRUE,TRUE,80.3519607573011,"Arizona Cardinals"
